Course Title,Rating,Level,Duration,Review,Modules,Instructor,Offered By,Keyword,Course Url
Fashion as Design,4.8,Beginner,20.0,2.813,"Introduction, Heroes, Silhouettes, Coutures, Lifecycle, Modesty, Expression","Anna Burckhardt, Paola Antonelli, Michelle Millar Fisher, Stephanie Kramer",The Museum of Modern Art,Arts and Humanities,https://www.coursera.org/learn/fashion-design
Modern American Poetry,4.4,Beginner,34.0,100,"Orientation, Module 1, Module 2, Module 3, Module 4",Cary Nelson,University of Illinois at Urbana-Champaign,Arts and Humanities,https://www.coursera.org/learn/modern-american-poetry
Pixel Art for Video Games,4.5,Beginner,9.0,227,"Week 1: Introduction to Pixel Art, Week 2: Pixel Art Environments, Week 3: Pixel Art Characters, Week 4: Pixel Art Animation, Week 5: Pixel Art Project","Andrew Dennis, Ricardo Guimaraes",Michigan State University,Arts and Humanities,https://www.coursera.org/learn/pixel-art-video-games
Distribución digital de la música independiente,0.0,Beginner,8.0,0,"Semana 1, Semana 2, Semana 3, Semana 4",Eduardo de la Vara Brown.,SAE Institute México,Arts and Humanities,https://www.coursera.org/learn/distribucion-digital-de-la-musica-independiente
The Blues: Understanding and Performing an American Art Form,4.8,Beginner,11.0,582,"Blues Progressions – Theory and Practice , Blues Scales , Keyboard Realization , “Bird” Blues and Other Blues Progressions, Improvisational Tools , Improvising the Blues – Part 1 , Improvising the Blues – Part 2",Dariusz Terefenko,University of Rochester,Arts and Humanities,https://www.coursera.org/learn/the-blues
So You Think You Know Tango?,4.6,Beginner,5.0,107,"Module 1: The Many Dimensions of Tango and Tango Music, Module 2: Tango Words and Movements",Kristin Wendland,Emory University,Arts and Humanities,https://www.coursera.org/learn/tango
The Politics of Skepticism,4.5,Intermediate,13.0,38,"Political Origins, Skepticism and Religion, Skepticism and Natural Law, Skepticism and Conservatism, “There’s a method to his madness”: Responses to Cartesian Skepticism, Fallibilism, prejudices and toleration: Lessons from Pyrrhonian Skepticism, The marketplace of ideas: An imaginative argument for freedom of expression, The benefit of the doubt: Critical creative problem solving in politics","Tim De Mey, Wiep van Bunge",Erasmus University Rotterdam,Arts and Humanities,https://www.coursera.org/learn/erasmus-philosophy-skepticism
Становлення сучасної України,0.0,Beginner,23.0,0,Становлення сучасної України,Timothy Snyder,Yale University,Arts and Humanities,https://www.coursera.org/learn/the-making-of-modern-ukraine-ua
Exploring Beethoven's Piano Sonatas Part 4,4.9,Intermediate,5.0,63,"Welcome to Class!, Op. 2, No. 2, Op. 10, No. 3, Op. 28, Op. 110, Your Thoughts Welcome",Jonathan Biss,Curtis Institute of Music,Arts and Humanities,https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-4
悖论：思维的魔方,4.8,Beginner,44.0,39,"预备知识和悖论概述, 上帝悖论和连锁悖论, 芝诺悖论和无穷之谜, 逻辑-集合论悖论和语义悖论, 语义悖论、归纳悖论和认知悖论, 各种认知悖论, 认知悖论和合理行动悖论, 道德悖论和中国古代悖论, 中国古代悖论, 关于悖论的进一步思考, 拓展材料：研讨会实录及学生报告, 期末考试",陈波,Peking University,Arts and Humanities,https://www.coursera.org/learn/bei-lun
